,ID,sentiment
0,0,2
1,1,1
2,2,1
3,3,0
4,4,1
5,5,1
6,6,2
7,7,0
8,8,1
9,9,0
10,10,1
11,11,1
12,12,1
13,13,2
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,19,1
20,20,0
21,21,1
22,22,2
23,23,2
24,24,1
25,25,2
26,26,2
27,27,0
28,28,0
29,29,1
30,30,0
31,31,0
32,32,0
33,33,1
34,34,1
35,35,1
36,36,1
37,37,1
38,38,1
39,39,1
40,40,2
41,41,1
42,42,1
43,43,2
44,44,1
45,45,0
46,46,1
47,47,2
48,48,2
49,49,1
50,50,1
51,51,0
52,52,2
53,53,1
54,54,2
55,55,0
56,56,0
57,57,1
58,58,1
59,59,1
60,60,1
61,61,1
62,62,2
63,63,0
64,64,1
65,65,1
66,66,1
67,67,2
68,68,1
69,69,2
70,70,1
71,71,2
72,72,1
73,73,2
74,74,1
75,75,1
76,76,0
77,77,1
78,78,2
79,79,2
80,80,1
81,81,1
82,82,0
83,83,2
84,84,0
85,85,1
86,86,1
87,87,0
88,88,1
89,89,1
90,90,1
91,91,1
92,92,0
93,93,1
94,94,1
95,95,1
96,96,1
97,97,2
98,98,1
99,99,2
100,100,1
101,101,2
102,102,0
103,103,0
104,104,1
105,105,2
106,106,2
107,107,1
108,108,0
109,109,2
110,110,1
111,111,0
112,112,1
113,113,1
114,114,2
115,115,1
116,116,2
117,117,0
118,118,2
119,119,1
120,120,0
121,121,0
122,122,1
123,123,1
124,124,0
125,125,0
126,126,0
127,127,1
128,128,1
129,129,2
130,130,0
131,131,1
132,132,2
133,133,1
134,134,1
135,135,0
136,136,0
137,137,0
138,138,0
139,139,1
140,140,1
141,141,1
142,142,0
143,143,0
144,144,2
145,145,1
146,146,1
147,147,1
148,148,2
149,149,2
150,150,1
151,151,2
152,152,0
153,153,2
154,154,1
155,155,2
156,156,2
157,157,2
158,158,0
159,159,1
160,160,1
161,161,0
162,162,2
163,163,1
164,164,1
165,165,2
166,166,1
167,167,2
168,168,2
169,169,1
170,170,2
171,171,2
172,172,0
173,173,0
174,174,0
175,175,1
176,176,0
177,177,0
178,178,0
179,179,2
180,180,1
181,181,0
182,182,2
183,183,1
184,184,1
185,185,2
186,186,2
187,187,2
188,188,0
189,189,0
190,190,1
191,191,1
192,192,0
193,193,1
194,194,0
195,195,0
196,196,1
197,197,0
198,198,1
199,199,1
200,200,1
201,201,2
202,202,2
203,203,0
204,204,0
205,205,1
206,206,1
207,207,0
208,208,2
209,209,0
210,210,1
211,211,1
212,212,2
213,213,2
214,214,0
215,215,1
216,216,2
217,217,1
218,218,1
219,219,1
220,220,2
221,221,1
222,222,0
223,223,0
224,224,2
225,225,1
226,226,1
227,227,1
228,228,1
229,229,1
230,230,1
231,231,2
232,232,1
233,233,2
234,234,1
235,235,0
236,236,2
237,237,1
238,238,1
239,239,2
240,240,0
241,241,1
242,242,1
243,243,1
244,244,1
245,245,0
246,246,1
247,247,1
248,248,0
249,249,2
250,250,0
251,251,1
252,252,1
253,253,1
254,254,1
255,255,1
256,256,1
257,257,0
258,258,1
259,259,2
260,260,2
261,261,2
262,262,0
263,263,1
264,264,2
265,265,2
266,266,0
267,267,2
268,268,2
269,269,2
270,270,2
271,271,1
272,272,0
273,273,1
274,274,0
275,275,1
276,276,1
277,277,1
278,278,2
279,279,1
280,280,0
281,281,2
282,282,2
283,283,1
284,284,1
285,285,1
286,286,2
287,287,2
288,288,0
289,289,1
290,290,2
291,291,0
292,292,2
293,293,2
294,294,1
295,295,1
296,296,0
297,297,1
298,298,1
299,299,2
300,300,1
301,301,1
302,302,2
303,303,0
304,304,1
305,305,0
306,306,1
307,307,2
308,308,1
309,309,1
310,310,1
311,311,1
312,312,0
313,313,1
314,314,1
315,315,1
316,316,1
317,317,1
318,318,1
319,319,1
320,320,1
321,321,0
322,322,1
323,323,1
324,324,1
325,325,1
326,326,1
327,327,2
328,328,1
329,329,1
330,330,1
331,331,2
332,332,2
333,333,1
334,334,1
335,335,0
336,336,0
337,337,1
338,338,1
339,339,1
340,340,1
341,341,0
342,342,2
343,343,2
344,344,1
345,345,0
346,346,2
347,347,2
348,348,1
349,349,1
350,350,1
351,351,1
352,352,0
353,353,0
354,354,1
355,355,0
356,356,1
357,357,1
358,358,2
359,359,0
360,360,0
361,361,2
362,362,1
363,363,1
364,364,2
365,365,2
366,366,1
367,367,1
368,368,1
369,369,1
370,370,1
371,371,0
372,372,1
373,373,1
374,374,1
375,375,1
376,376,0
377,377,1
378,378,0
379,379,2
380,380,1
381,381,2
382,382,1
383,383,1
384,384,0
385,385,1
386,386,1
387,387,1
388,388,0
389,389,1
390,390,1
391,391,2
392,392,1
393,393,0
394,394,2
395,395,1
396,396,1
397,397,1
398,398,1
399,399,1
400,400,2
401,401,0
402,402,0
403,403,1
404,404,0
405,405,1
406,406,2
407,407,2
408,408,1
409,409,0
410,410,2
411,411,1
412,412,2
413,413,0
414,414,0
415,415,1
416,416,1
417,417,2
418,418,1
419,419,1
420,420,0
421,421,1
422,422,1
423,423,2
424,424,2
425,425,1
426,426,1
427,427,0
428,428,1
429,429,2
430,430,0
431,431,1
432,432,0
433,433,0
434,434,2
435,435,2
436,436,2
437,437,1
438,438,1
439,439,2
440,440,1
441,441,2
442,442,0
443,443,0
444,444,0
445,445,2
446,446,2
447,447,1
448,448,0
449,449,2
450,450,1
451,451,2
452,452,0
453,453,1
454,454,2
455,455,1
456,456,0
457,457,1
458,458,1
459,459,0
460,460,2
461,461,0
462,462,0
463,463,1
464,464,1
465,465,1
466,466,1
467,467,2
468,468,1
469,469,2
470,470,0
471,471,1
472,472,1
473,473,0
474,474,1
475,475,0
476,476,2
477,477,1
478,478,0
479,479,1
480,480,0
481,481,2
482,482,2
483,483,1
484,484,0
485,485,1
486,486,0
487,487,2
488,488,0
489,489,1
490,490,2
491,491,0
492,492,1
493,493,1
494,494,1
495,495,2
496,496,0
497,497,1
498,498,2
499,499,0
500,500,1
501,501,1
502,502,0
503,503,1
504,504,2
505,505,0
506,506,0
507,507,1
508,508,0
509,509,1
510,510,2
511,511,1
512,512,1
513,513,1
514,514,1
515,515,1
516,516,1
517,517,2
518,518,1
519,519,1
520,520,2
521,521,0
522,522,0
523,523,0
524,524,1
525,525,1
526,526,0
527,527,0
528,528,0
529,529,1
530,530,1
531,531,1
532,532,1
533,533,1
534,534,2
535,535,1
536,536,2
537,537,0
538,538,0
539,539,1
540,540,1
541,541,1
542,542,1
543,543,0
544,544,2
545,545,1
546,546,1
547,547,0
548,548,1
549,549,1
550,550,1
551,551,0
552,552,1
553,553,2
554,554,0
555,555,2
556,556,2
557,557,0
558,558,2
559,559,1
560,560,1
561,561,1
562,562,2
563,563,0
564,564,2
565,565,1
566,566,1
567,567,0
568,568,1
569,569,2
570,570,2
571,571,2
572,572,1
573,573,1
574,574,1
575,575,1
576,576,1
577,577,0
578,578,0
579,579,0
580,580,1
581,581,0
582,582,2
583,583,0
584,584,1
585,585,1
586,586,0
587,587,2
588,588,2
589,589,1
590,590,1
591,591,1
592,592,2
593,593,0
594,594,1
595,595,2
596,596,1
597,597,1
598,598,1
599,599,1
600,600,2
601,601,1
602,602,1
603,603,1
604,604,2
605,605,1
606,606,2
607,607,1
608,608,2
609,609,0
610,610,1
611,611,1
612,612,1
613,613,1
614,614,1
615,615,2
616,616,1
617,617,1
618,618,2
619,619,1
620,620,1
621,621,2
622,622,1
623,623,1
624,624,2
625,625,2
626,626,1
627,627,2
628,628,2
629,629,1
630,630,2
631,631,1
632,632,0
633,633,1
634,634,2
635,635,1
636,636,0
637,637,0
638,638,1
639,639,2
640,640,2
641,641,1
642,642,2
643,643,2
644,644,1
645,645,1
646,646,2
647,647,1
648,648,0
649,649,1
650,650,0
651,651,1
652,652,1
653,653,2
654,654,1
655,655,0
656,656,1
657,657,1
658,658,0
659,659,1
660,660,1
661,661,1
662,662,1
663,663,1
664,664,0
665,665,1
666,666,2
667,667,1
668,668,2
669,669,1
670,670,0
671,671,1
672,672,1
673,673,0
674,674,1
675,675,1
676,676,2
677,677,0
678,678,2
679,679,1
680,680,1
681,681,1
682,682,2
683,683,1
684,684,1
685,685,1
686,686,2
687,687,2
688,688,1
689,689,1
690,690,2
691,691,2
692,692,1
693,693,1
694,694,1
695,695,1
696,696,1
697,697,1
698,698,1
699,699,1
700,700,1
701,701,1
702,702,2
703,703,2
704,704,1
705,705,0
706,706,2
707,707,1
708,708,0
709,709,1
710,710,1
711,711,1
712,712,1
713,713,1
714,714,2
715,715,2
716,716,1
717,717,1
718,718,0
719,719,1
720,720,1
721,721,1
722,722,1
723,723,0
724,724,0
725,725,1
726,726,1
727,727,2
728,728,2
729,729,1
730,730,2
731,731,1
732,732,1
733,733,1
734,734,2
735,735,0
736,736,0
737,737,1
738,738,1
739,739,1
740,740,2
741,741,2
742,742,1
743,743,1
744,744,0
745,745,1
746,746,2
747,747,1
748,748,1
749,749,2
750,750,0
751,751,1
752,752,1
753,753,1
754,754,0
755,755,2
756,756,1
757,757,1
758,758,0
759,759,1
760,760,1
761,761,1
762,762,1
763,763,1
764,764,0
765,765,2
766,766,0
767,767,1
768,768,0
769,769,0
770,770,1
771,771,1
772,772,2
773,773,1
774,774,1
775,775,0
776,776,0
777,777,1
778,778,0
779,779,1
780,780,2
781,781,1
782,782,2
783,783,2
784,784,1
785,785,1
786,786,0
787,787,2
788,788,2
789,789,1
790,790,2
791,791,2
792,792,0
793,793,0
794,794,2
795,795,1
796,796,1
797,797,1
798,798,0
799,799,1
800,800,0
801,801,0
802,802,1
803,803,1
804,804,1
805,805,2
806,806,1
807,807,1
808,808,0
809,809,1
810,810,1
811,811,0
812,812,2
813,813,1
814,814,0
815,815,1
816,816,1
817,817,2
818,818,1
819,819,1
820,820,0
821,821,1
822,822,1
823,823,2
824,824,2
825,825,1
826,826,2
827,827,0
828,828,1
829,829,1
830,830,0
831,831,1
832,832,1
833,833,2
834,834,2
835,835,1
836,836,0
837,837,0
838,838,1
839,839,2
840,840,1
841,841,1
842,842,1
843,843,1
844,844,1
845,845,0
846,846,1
847,847,1
848,848,2
849,849,2
850,850,1
851,851,0
852,852,1
853,853,1
854,854,2
855,855,0
856,856,1
857,857,1
858,858,2
859,859,0
860,860,0
861,861,1
862,862,1
863,863,2
864,864,1
865,865,1
866,866,0
867,867,2
868,868,1
869,869,0
870,870,1
871,871,1
872,872,1
873,873,1
874,874,1
875,875,0
876,876,1
877,877,0
