ID,sentiment
0,2
1,0
2,1
3,0
4,1
5,0
6,2
7,0
8,1
9,0
10,1
11,1
12,1
13,2
14,1
15,1
16,1
17,1
18,1
19,0
20,0
21,2
22,2
23,2
24,1
25,1
26,2
27,0
28,0
29,1
30,0
31,0
32,0
33,2
34,1
35,1
36,1
37,0
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,2
46,0
47,2
48,2
49,1
50,0
51,1
52,1
53,1
54,2
55,0
56,0
57,1
58,1
59,0
60,1
61,0
62,2
63,2
64,0
65,1
66,1
67,1
68,1
69,2
70,1
71,2
72,1
73,2
74,1
75,0
76,0
77,1
78,2
79,1
80,0
81,1
82,1
83,0
84,0
85,2
86,0
87,0
88,2
89,1
90,1
91,1
92,0
93,1
94,1
95,0
96,1
97,2
98,0
99,2
100,1
101,2
102,1
103,2
104,1
105,2
106,2
107,1
108,0
109,1
110,1
111,0
112,1
113,1
114,0
115,1
116,2
117,0
118,2
119,1
120,1
121,0
122,1
123,0
124,1
125,0
126,0
127,1
128,1
129,2
130,0
131,1
132,1
133,1
134,1
135,0
136,0
137,0
138,0
139,1
140,2
141,1
142,0
143,0
144,2
145,1
146,0
147,1
148,2
149,2
150,1
151,2
152,0
153,2
154,1
155,0
156,0
157,2
158,0
159,1
160,1
161,0
162,0
163,1
164,1
165,2
166,1
167,2
168,2
169,1
170,2
171,2
172,0
173,0
174,0
175,1
176,1
177,0
178,1
179,0
180,1
181,0
182,1
183,1
184,1
185,2
186,2
187,1
188,0
189,0
190,1
191,1
192,0
193,2
194,0
195,0
196,1
197,2
198,1
199,1
200,1
201,2
202,2
203,1
204,0
205,1
206,1
207,1
208,2
209,0
210,1
211,2
212,1
213,2
214,0
215,0
216,2
217,1
218,1
219,1
220,2
221,0
222,0
223,1
224,2
225,1
226,1
227,1
228,1
229,1
230,1
231,2
232,1
233,2
234,1
235,2
236,1
237,1
238,1
239,1
240,0
241,1
242,0
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,0
252,1
253,2
254,1
255,1
256,1
257,1
258,1
259,2
260,2
261,2
262,0
263,0
264,2
265,1
266,0
267,0
268,2
269,2
270,2
271,0
272,0
273,1
274,0
275,1
276,1
277,1
278,2
279,1
280,0
281,2
282,2
283,1
284,1
285,1
286,2
287,2
288,0
289,2
290,2
291,0
292,2
293,1
294,1
295,1
296,0
297,1
298,2
299,2
300,1
301,0
302,2
303,1
304,2
305,0
306,0
307,2
308,1
309,0
310,1
311,1
312,0
313,1
314,1
315,1
316,1
317,0
318,1
319,1
320,1
321,1
322,1
323,0
324,1
325,0
326,1
327,2
328,0
329,1
330,0
331,1
332,2
333,1
334,1
335,0
336,2
337,1
338,0
339,1
340,1
341,2
342,2
343,2
344,0
345,0
346,2
347,2
348,1
349,2
350,1
351,1
352,0
353,0
354,0
355,2
356,2
357,1
358,2
359,1
360,1
361,2
362,1
363,0
364,0
365,2
366,1
367,1
368,0
369,1
370,1
371,1
372,0
373,1
374,1
375,1
376,0
377,0
378,1
379,1
380,1
381,2
382,1
383,0
384,0
385,0
386,2
387,1
388,2
389,1
390,1
391,2
392,1
393,0
394,2
395,1
396,1
397,1
398,0
399,2
400,2
401,0
402,0
403,1
404,0
405,1
406,2
407,2
408,0
409,1
410,2
411,1
412,2
413,0
414,1
415,2
416,1
417,2
418,1
419,1
420,2
421,0
422,1
423,0
424,2
425,1
426,1
427,0
428,1
429,1
430,0
431,0
432,0
433,0
434,2
435,2
436,2
437,1
438,1
439,1
440,1
441,2
442,0
443,0
444,0
445,2
446,0
447,1
448,0
449,2
450,0
451,2
452,1
453,2
454,2
455,1
456,0
457,1
458,1
459,1
460,2
461,1
462,1
463,0
464,1
465,1
466,1
467,2
468,1
469,2
470,0
471,1
472,1
473,1
474,0
475,2
476,2
477,1
478,0
479,2
480,2
481,0
482,2
483,1
484,1
485,1
486,0
487,2
488,1
489,1
490,0
491,1
492,1
493,1
494,1
495,2
496,0
497,1
498,1
499,1
500,1
501,1
502,0
503,0
504,1
505,1
506,0
507,2
508,0
509,0
510,2
511,1
512,0
513,0
514,1
515,0
516,1
517,1
518,1
519,0
520,2
521,0
522,2
523,0
524,2
525,1
526,1
527,0
528,2
529,0
530,1
531,1
532,0
533,0
534,2
535,1
536,2
537,1
538,1
539,0
540,1
541,0
542,2
543,0
544,2
545,0
546,0
547,0
548,1
549,1
550,1
551,0
552,1
553,2
554,0
555,2
556,2
557,2
558,2
559,2
560,1
561,0
562,2
563,0
564,2
565,1
566,1
567,0
568,0
569,2
570,1
571,2
572,2
573,1
574,1
575,1
576,1
577,0
578,1
579,0
580,1
581,0
582,2
583,0
584,1
585,2
586,0
587,2
588,2
589,1
590,2
591,0
592,2
593,1
594,2
595,2
596,1
597,1
598,1
599,1
600,2
601,1
602,1
603,0
604,2
605,1
606,2
607,0
608,2
609,0
610,1
611,2
612,1
613,1
614,1
615,1
616,1
617,1
618,0
619,0
620,2
621,2
622,1
623,1
624,2
625,2
626,1
627,2
628,2
629,1
630,2
631,1
632,1
633,1
634,2
635,1
636,1
637,0
638,0
639,0
640,1
641,2
642,0
643,2
644,1
645,1
646,2
647,1
648,1
649,1
650,0
651,0
652,0
653,2
654,1
655,1
656,0
657,1
658,1
659,1
660,1
661,1
662,1
663,0
664,0
665,1
666,2
667,2
668,2
669,1
670,0
671,0
672,2
673,0
674,1
675,1
676,2
677,1
678,2
679,1
680,1
681,0
682,1
683,1
684,1
685,0
686,0
687,1
688,2
689,0
690,0
691,2
692,0
693,1
694,1
695,1
696,1
697,0
698,1
699,1
700,1
701,1
702,2
703,2
704,2
705,0
706,2
707,0
708,0
709,0
710,0
711,0
712,2
713,1
714,2
715,2
716,0
717,1
718,2
719,0
720,1
721,1
722,2
723,0
724,0
725,1
726,1
727,2
728,1
729,1
730,2
731,1
732,1
733,1
734,0
735,0
736,0
737,1
738,0
739,2
740,2
741,2
742,1
743,1
744,1
745,1
746,2
747,0
748,1
749,2
750,0
751,1
752,1
753,1
754,0
755,2
756,1
757,1
758,0
759,1
760,1
761,1
762,1
763,1
764,1
765,2
766,2
767,1
768,0
769,1
770,0
771,1
772,2
773,1
774,1
775,1
776,0
777,0
778,0
779,1
780,2
781,1
782,2
783,2
784,1
785,0
786,0
787,0
788,2
789,0
790,2
791,1
792,0
793,0
794,2
795,1
796,1
797,1
798,1
799,0
800,0
801,1
802,1
803,1
804,0
805,2
806,0
807,0
808,0
809,2
810,1
811,0
812,2
813,1
814,0
815,1
816,1
817,0
818,1
819,0
820,1
821,1
822,2
823,2
824,1
825,0
826,1
827,1
828,1
829,1
830,0
831,1
832,1
833,1
834,2
835,1
836,0
837,0
838,1
839,2
840,1
841,1
842,1
843,1
844,1
845,0
846,1
847,1
848,2
849,2
850,1
851,0
852,1
853,1
854,2
855,1
856,1
857,0
858,2
859,1
860,0
861,0
862,1
863,2
864,1
865,1
866,0
867,2
868,0
869,0
870,1
871,2
872,0
873,1
874,0
875,0
876,0
877,2
878,2
879,2
880,1
881,1
882,1
883,0
884,1
885,1
886,1
887,1
888,2
889,1
890,1
891,1
892,2
893,2
894,2
895,0
896,1
897,1
898,2
899,1
900,1
901,1
902,0
903,1
904,0
905,1
906,0
907,0
908,1
909,1
910,1
911,1
912,1
913,0
914,0
915,0
916,0
917,1
918,1
919,0
920,2
921,1
922,2
923,2
924,0
925,0
926,2
927,0
928,1
929,0
930,1
931,1
932,2
933,1
934,0
935,1
936,1
937,0
938,1
939,0
940,2
941,1
942,2
943,1
944,2
945,0
946,1
947,1
948,1
949,0
950,1
951,1
952,2
953,1
954,2
955,2
956,0
957,2
958,0
959,0
960,2
961,1
962,2
963,1
964,0
965,0
966,0
967,0
968,1
969,1
970,0
971,1
972,2
973,1
974,1
975,1
976,1
977,2
978,2
979,2
980,1
981,1
982,1
983,0
984,0
985,0
986,1
987,2
988,1
989,2
990,1
991,2
992,1
993,1
994,1
995,1
996,0
997,2
998,0
999,2
1000,1
1001,1
1002,1
1003,1
1004,0
1005,0
1006,2
1007,0
1008,0
1009,1
1010,2
1011,2
1012,2
1013,0
1014,0
1015,2
1016,1
1017,2
1018,1
1019,1
1020,2
1021,1
1022,0
1023,1
1024,0
1025,1
1026,2
1027,0
1028,2
1029,1
1030,0
1031,1
1032,1
1033,1
1034,0
1035,0
1036,0
1037,2
1038,2
1039,1
1040,2
1041,2
1042,0
1043,1
1044,2
1045,1
1046,0
1047,1
1048,1
1049,1
1050,2
1051,1
1052,1
1053,0
1054,0
1055,0
1056,0
1057,2
1058,1
1059,2
1060,2
1061,0
1062,1
1063,0
1064,1
1065,1
1066,1
1067,0
1068,0
1069,1
1070,0
1071,2
1072,1
1073,1
1074,1
1075,1
1076,1
1077,1
1078,0
1079,1
1080,1
1081,0
1082,0
1083,2
1084,1
1085,0
1086,0
1087,0
1088,1
1089,1
1090,1
1091,2
1092,0
1093,1
1094,2
1095,1
1096,2
1097,2
1098,0
1099,1
1100,0
1101,0
1102,1
1103,0
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
1110,0
1111,0
1112,1
1113,0
1114,1
1115,2
1116,1
1117,1
1118,2
1119,1
1120,1
1121,1
1122,2
1123,0
1124,1
1125,0
1126,1
1127,2
1128,1
1129,0
1130,2
1131,0
1132,1
1133,1
1134,0
1135,1
1136,0
1137,1
1138,1
1139,1
1140,1
1141,2
1142,1
1143,0
1144,0
1145,1
1146,1
1147,2
1148,2
1149,1
1150,1
1151,1
1152,0
1153,1
1154,1
1155,1
1156,2
1157,2
